progname,Hours
samtools,1111442
openmpi,1111131
xdsgui,1110948
vmd,1110228
eman2,1108423
alphafold,1108349
openmpi,1107578
spring,1107405
cistem,1105393
cryoid,1105253
rosetta,1105076
samtools,1103837
jupyter,1103362
pytom,1102563
cistem,1102222
java,1102012
pymol,1101459
eman2,1101357
ccpnmr,1101293
cistem,1099962
chimerax,1099950
chimera,1099613
hkl,1098698
openmpi,1097754
samtools,1096998
chimerax,1094340
pymol,1093975
relion,1093387
relion,1092866
java,1092806
pymol,1092780
vmd,1092180
phenix,1091684
pymol,1091424
freesurfer,1090789
coot,1089812
phenix,1087703
chimerax,1087089
r,1085706
eman2,1085286
cryolo,1085057
coot,1084303
chimera,1083799
schrodinger,1083415
hkl,1082433
chimerax,1082263
schrodinger,1081732
amber,1081708
bowtie2,1080994
samtools,1079680
schrodinger,1079430
phenix,1077846
phenix,1076789
vmd,1076573
rosetta,1075135
vmd,1074718
relion,1074160
hkl,1073391
python,1072466
java,1071512
nedit,1070154
xdsgui,1069769
chimera,1069374
nedit,1068827
chimerax,1066492
samtools,1065445
xdsgui,1064589
adxv,1064557
chimera,1061909
alphafold,1061222
chimerax,1061109
chimera,1060741
bcftools,1057404
vmd,1057022
schrodinger,1056665
hkl,1055697
hkl,1055403
python,1055034
samtools,1054719
r,1054472
nmrviewj,1053521
bwa,1053389
propka,1052572
java,1052557
schrodinger,1050815
chimerax,1050425
java,1050124
chimerax,1048292
openmpi,1046778
o,1046669
vmd,1046411
java,1045477
nmrfam-sparky,1044916
coot,1044566
eman2,1044548
cistem,1044453
fiji,1044334
bedtools,1043742
python,1043434
cistem,1043283
exabayes,1042131
scipion,1041722
tcltk,1041464
gatk,1041239
relion,1041125
jupyter,1040995
jalview,1040891
nmrfam-sparky,1040871
nmrfam-sparky,1040871
ccp4,1040708
eman2,1040458
pymol_schrodinger,1040084
nmrpipe,1039696
python,1037865
chimera,1037573
openmpi,1037313
pymol,1035847
python,1034401
fiji,1033140
chimerax,1031376
pymol,1030703
rosetta,1030300
relion,1030278
cistem,1029931
samtools,1029504
openmpi,1028471
eman2,1028444
schrodinger,1028102
phenix,1027828
nedit,1026903
bedtools,1024667
fiji,1022952
pymol,1022444
xdsgui,1020779
samtools,1020410
cryolo,1019941
ccpnmr,1019884
python,1019200
openmpi,1018375
eman2,1018239
python,1016747
cryodrgn,1016658
java,1014902
coot,1014762
bwa,1014164
openmpi,1013495
imagej,1013350
ccp4,1012289
cistem,1011486
phenix,1011356
pymol_schrodinger,1010756
python,1010736
perl,1010197
peet,1009721
python,1009572
bcftools,1007252
nedit,1007221
ccp4,1006628
o,1006475
cistem,1004895
pymol,1004793
phenix,1004125
eman2,1003684
schrodinger,1003513
pytom,1003451
coot,1002988
schrodinger,1001965
relion,1001951
nmrfam-sparky,1000425
rosetta,1000125
openmpi,999023
samtools,998767
nedit,998613
xds,998486
samtools,998364
eman2,997803
python,996492
bcftools,996439
java,996411
phenix,995911
ccpnmr,995698
coot,995656
chimerax,995307
vmd,995124
xdsgui,993192
samtools,992935
bowtie2,992767
phenix,992447
python,991370
r,991263
nedit,990520
nedit,990190
chimerax,990039
samtools,989540
vmd,989391
java,989205
pytom,988934
pytom,988494
eman2,988278
chimerax,987889
gatk,987758
gatk,987654
ccpnmr,987219
openmpi,985444
bcftools,984834
python,984167
java,982544
cistem,981560
samtools,981547
java,980328
peet,979224
nmrfam-sparky,977109
r,975744
chimerax,975572
gatk,975306
gatk,975105
schrodinger,974718
coot,974156
python,974020
r,973865
vmd,973455
phenix,973409
nedit,972834
chimerax,971657
chimerax,971657
chimera,970388
openmpi,969873
python,969136
relion,968911
rosetta,968640
pymol,968544
chimerax,967989
chimera,964962
java,964784
picard,964140
nmrview,963953
bwa,963718
eman2,961822
ccpem,961640
java,959429
coot,958627
xv,957687
coot,957547
hkl,956945
chimerax,956837
eman2,956695
eman2,956695
bcftools,956052
nmrfam-sparky,955308
nedit,954509
relion,954468
rosetta,953629
python,952663
nmrpipe,951308
openmpi,951267
tophat,950290
schrodinger,949972
schrodinger,949862
xdsgui,949484
python,948953
grace,948690
relion,948355
java,948291
fiji,946588
xterm,946291
ccpnmr,945633
perl,944338
jupyter,944233
nmrfam-sparky,944185
peet,943619
openmpi,942642
bcftools,942608
bedtools,942410
schrodinger,940965
relion,940421
relion,940277
ccpem,940002
ligplus,939802
coot,939753
ccpnmr,939457
r,938309
ccpem,938271
gromacs,937990
relionbbr,937915
schrodinger,937719
scipion,937525
scipion,937525
pymol,937246
pymol,936944
vmd,936613
rstudio,936303
bcftools,935360
cistem,934981
pytom,934785
cara,934745
chimera,934488
bedtools,934156
python,933415
namd,932128
chimerax,932126
pymol_schrodinger,931842
chimera,931310
r,931226
chimerax,930849
pymol,930827
java,930540
schrodinger,930048
openmpi,928072
openmpi,927900
eman2,926719
r,926059
openmpi,924228
peet,923827
java,923790
java,923750
java,923589
samtools,923338
atsas,922864
chimera,922345
nmrfam-sparky,921944
java,921743
cryolo,921480
samtools,921450
xdsgui,920823
chimera,920483
bcftools,919510
chimerax,919025
samtools,918017
topaz,917068
gatk,915537
cistem,914495
peet,914111
java,913274
vmd,911582
relionbbr,911581
nmrfam-sparky,911548
coot,911434
ccp4,910531
java,909876
nedit,907744
openmpi,906805
openmpi,906738
adxv,904894
r,904860
pymol_schrodinger,903571
chimerax,902618
chimerax,901410
scipion,901163
pymol,900982
chimera,900969
nmrview,900418
nedit,900232
pymol,898730
ccp4,898643
openmpi,897959
bcftools,897751
freesurfer,897246
relion,897080
hkl,896969
topaz,896849
relion,896577
autodock,896448
python,896195
samtools,896137
java,895886
chimerax,895151
alphafold,895030
adxv,894831
chimerax,894782
bedtools,894724
nedit,893929
samtools,893675
r,893306
vmd,892507
nmrfam-sparky,892254
adxv,891654
coot,889894
schrodinger,888431
coot,888189
schrodinger,888077
o,887611
ccp4,886625
java,886178
cistem,885429
cistem,884165
java,883568
jalview,881321
chimera,881019
hkl,880904
openmpi,879848
samtools,879499
delly,879133
isonet,878814
python,878140
chimera,877995
java,877671
buster,876938
schrodinger,876737
buster,875539
peet,874919
hkl2map,873298
schrodinger,873019
topaz,872787
r,872707
coot,872343
hkl,871976
openmpi,871203
cryolo,871197
ligplus,870680
coot,870096
chimerax,869387
nedit,868331
hkl,868240
cryolo,866094
xdsgui,864953
samtools,864916
schrodinger,864204
java,863693
python,863584
schrodinger,862565
coot,862010
atsas,861999
r,861984
freesurfer,860466
peet,860199
ligplus,860188
freesurfer,859259
phenix,858928
nmrpipe,858519
relion,858208
python,857391
nmrfam-sparky,856808
chimera,856584
r,856583
eman2,855995
peet,855575
bwa,853221
pymol,851702
nmrfam-sparky,851144
vmd,850972
samtools,850936
python,850723
nedit,850548
fiji,850470
cellprofiler,850239
vmd,849981
star,849804
raw,849077
chimerax,848885
samtools,848780
eman2,848624
java,848267
dino,847935
gatk,847727
java,847687
exabayes,846242
pymol,845534
perl,844976
tophat,844924
nedit,844862
xdsgui,844657
eman2,844559
aline,844432
java,843911
openmpi,842467
bcftools,840724
eman2,840558
coot,839753
samtools,839027
bcftools,837869
eman2,837588
gromacs,837502
ccpnmr,836252
eman2,835896
java,835819
cryolo,835656
hmmer,835501
jupyter,835181
freesurfer,834800
schrodinger,834734
dynamo,834417
freesurfer,833094
chimerax,832785
java,832721
chimera,832596
xdsgui,831793
java,831270
delly,830834
chimera,830510
chimerax,830265
java,830222
nmrfam-sparky,829991
eman2,829726
ccpem,829532
chimera,828770
relionbbr,826776
nmrfam-sparky,826699
java,826348
gromacs,825762
schrodinger,825211
freesurfer,824485
sratoolkit,824140
xdsgui,824095
openmpi,823928
gatk,823687
vmd,823588
java,823428
phenix,822478
eman2,822272
ccpem,821700
peet,820759
eman2,820649
eman2,820649
nedit,820624
java,820059
bcftools,818413
freesurfer,818391
java,818252
coot,818175
openmpi,816283
hkl,816277
freesurfer,815806
openmpi,814678
openmpi,814678
schrodinger,814421
chimerax,814078
vmd,813577
chimera,812971
delly,812781
java,811682
xds,809810
chimerax,809246
openmpi,808884
nmrpipe,808880
java,808822
scipion,808648
cistem,806839
peet,806508
freesurfer,805660
freesurfer,805187
freesurfer,804782
chimerax,803814
openmpi,803739
openmpi,803244
java,801636
freesurfer,801579
bcftools,799606
xdsgui,799259
eman2,799259
schrodinger,799085
ccpnmr,798695
chimerax,797748
python,797678
alphafold,797452
coot,796361
schrodinger,796083
samtools,796077
pymol_schrodinger,795725
freesurfer,795684
vmd,795459
nedit,795248
samtools,795005
nmrfam-sparky,794972
bcftools,794875
fiji,794563
openmpi,793661
beast,793117
imagemagick,792858
samtools,792833
nmrpipe,792743
dino,792675
delly,792608
eman2,792605
openmpi,792478
coot,792252
pymol,792123
scipion,791373
relion,791238
vmd,790676
perl,790153
schrodinger,789607
freesurfer,789510
prody,788912
chimerax,788764
peet,788754
python,788239
vmd,787931
adxv,787613
ccpem,787564
ligplus,787349
cistem,787088
openmpi,786962
eman2,786664
freesurfer,786395
adxv,785795
scipion,785554
schrodinger,785043
gnuplot,784698
ccpnmr,784273
coot,783601
r,783351
scatter,783196
openmpi,783136
mdanalysis,782928
perl,782269
hkl,782176
dino,781005
nmrfam-sparky,780918
nedit,780335
fiji,779825
ccp4,779815
bcftools,779750
o,779678
schrodinger,779494
alphafold,779306
ccpem,778977
nmrfam-sparky,778704
chimerax,778677
jupyter,777934
coot,777305
r,777283
schrodinger,776757
coot,776514
nmrfam-sparky,776425
ccpnmr,776279
scipion,776131
adxv,776108
java,775956
eman2,775759
fiji,775653
nmrpipe,775645
java,774931
perl,774871
cryolo,774366
pymol,773604
java,773399
freesurfer,772651
schrodinger,771858
topaz,771846
relion,771454
chimerax,771380
chimerax,771232
chimerax,770522
coot,770456
cistem,770112
perl,770023
pymol,769482
eman2,769220
cistem,769051
pymol_schrodinger,768438
ccp4,768306
bwa,768111
bowtie2,767747
aline,767333
atsas,767312
hkl,766636
chimerax,766181
bedtools,765581
chimera,764308
nmrfam-sparky,763989
openmpi,763042
eman2,762593
freesurfer,762397
freesurfer,761948
schrodinger,761655
em2em,761629
java,760930
ccp4,760819
pymol,760490
bedtools,760313
isonet,760131
freesurfer,759857
o,759386
chimerax,759044
bcftools,758654
scatter,758148
picard,757962
freesurfer,757838
freesurfer,757783
java,757772
cryolo,757415
java,757219
samtools,756383
eman2,756378
vmd,755989
nmrview,754888
coot,754843
coot,754526
java,754459
peet,753967
delly,753735
freesurfer,753587
schrodinger,753221
freesurfer,752873
freesurfer,752673
freesurfer,752183
bcftools,750323
perl,750211
schrodinger,749659
cryolo,749637
phenix,749615
nedit,749610
openmpi,749304
python,748347
ccp4,747988
bcftools,747938
xdsgui,747527
coot,747389
chimerax,747231
nmrfam-sparky,746963
peet,746866
pairtools,746238
peet,745693
chimerax,744405
samtools,743349
freesurfer,742536
schrodinger,742355
nedit,742037
gatk,741889
eman2,741448
schrodinger,741088
bcftools,740660
coot,740357
chimerax,738694
nmrpipe,737665
freesurfer,737561
o,736950
pytorch,736182
eman2,735137
bcftools,735085
chimerax,733294
chimera,732798
freesurfer,732090
relion,731611
delly,730136
pytorch,729760
cryolo,729431
nedit,729204
nmrfam-sparky,728939
pymol,728583
nedit,728280
phenix,727883
nmrfam-sparky,727853
nmrfam-sparky,727562
topaz,727293
ccp4,727085
topaz,726502
bwa,726393
peet,726194
xds,726125
chimerax,725132
hkl,724319
chimera,724200
gatk,723869
scipion,723644
eman2,723479
java,723474
r,723225
phenix,721671
chimerax,721435
eman2,720420
rosetta,720291
eman2,720153
schrodinger,720144
xds,719993
scipion,719867
nedit,719730
coot,719094
coot,718986
alphafold,718956
xdsgui,718548
samtools,718313
samtools,718313
cistem,717567
vmd,716629
vmd,716135
nedit,715613
xdsgui,715562
phenix,714807
python,714403
coot,713361
nmrpipe,713140
python,713065
schrodinger,713056
phenix,712863
coot,712514
vmd,712435
samtools,712383
alphafold,712196
rstudio,712122
eman2,712056
alphafold,711729
scipion,711160
bwa,710809
java,710787
alphafold,710513
perl,709855
java,709722
chimerax,709011
samtools,709005
chimera,708878
coot,708714
nmrfam-sparky,708584
vmd,708472
python,708412
java,708291
o,708015
coot,707581
peet,707403
pymol,707284
nmrfam-sparky,707021
ligplus,706872
openmpi,706685
jupyter,706675
scipion,706442
dino,706328
xdrawchem,706106
java,705885
coot,705807
vmd,704789
ccpem,704470
ccp4,704389
xdsgui,704234
bcftools,704102
gatk,704072
xterm,703817
openmpi,703561
cryolo,701933
samtools,701802
fiji,701731
imod,701593
sratoolkit,701493
peet,700919
chimerax,699058
openmpi,698372
xdsgui,697585
phenix,697129
coot,697099
nmrfam-sparky,696375
samtools,695998
cistem,695229
openmpi,695223
nmrview,695043
openmpi,694671
nmrview,694099
python,693983
imosflm,693645
python,693517
java,692968
samtools,692806
pymol,692777
eman2,692525
alphafold,692151
autodock,691302
pymol_schrodinger,690247
vmd,690225
pymol_open,689671
python,689185
schrodinger,689035
hkl,688985
schrodinger,688949
perl,688876
rosetta,688585
coot,688320
bedtools,687659
mgltools,687244
scipion,687214
cistem,687136
gatk,686919
phenix,686910
hkl,685775
java,685552
schrodinger,684920
nedit,684692
eman2,684626
nmrpipe,684185
bedtools,684112
python,683894
adxv,683807
python,683284
python,682240
python,681853
python,681853
hkl,681393
cryolo,680806
r,680801
scipion,680475
openmpi,680390
java,680189
rosetta,679936
vmd,679616
python,679151
chimerax,678421
gromacs,678418
cryolo,678347
ccpem,678194
samtools,678182
schrodinger,677731
pymol_schrodinger,677100
openmpi,676480
bowtie2,676418
ccpem,676384
phenix,675897
pymol,675513
geneious,675404
openmpi,675359
java,675170
bsoft,673762
nedit,673129
nedit,673108
geneious,673079
nmrfam-sparky,672899
chimera,672594
hkl2map,672231
cistem,671666
perl,671387
nedit,669406
phenix,669179
chimerax,668291
pymol_schrodinger,667849
cryolo,667363
o,667313
adxv,666925
nmrview,665596
python,665496
phenix,664682
openmpi,664051
coot,663639
ccp4,663143
python,662371
java,662257
ccpem,662142
prody,661426
cryodrgn,660817
xds,660107
java,659773
openmpi,659296
nmrfam-sparky,658041
java,657667
python,656862
python,656692
ccpem,656685
hkl,656684
phenix,656608
python,656541
cryolo,656389
pymol_schrodinger,656034
openmpi,655848
r,655683
ccp4,655257
eman2,654585
topaz,654360
coot,654206
chimerax,652212
phenix,651959
nmrfam-sparky,651661
eman2,651528
coot,650245
nmrfam-sparky,649633
coot,649392
samtools,649270
python,648982
rosetta,648960
pymol,648529
java,647409
plink2,647020
schrodinger,646864
java,646815
bedtools,646559
vmd,646133
chimerax,646018
python,645243
xds,644821
pymol,644709
samtools,644417
phenix,644360
o,643974
cistem,643943
pymol,643875
perl,642676
phenix,642605
vmd,642203
xterm,641884
bedtools,641865
cistem,641582
java,641560
chimerax,641217
schrodinger,640748
phenix,639428
vmd,639411
python,638886
fiji,638729
ccpem,637719
samtools,637577
alphafold,637482
nedit,637286
ccp4,637078
nedit,636725
delly,636479
phenix,634822
openmpi,634789
openmpi,634685
r,634465
pymol,634455
samtools,634396
peet,634372
pymol,634266
xdsgui,633925
python,633826
hkl,633631
samtools,633548
ccpnmr,633462
python,632803
vmd,632039
chimera,631647
simple,631281
python,631232
schrodinger,631154
java,631098
java,630901
schrodinger,630745
cryodrgn,630602
eman2,629853
rosetta,629834
python,629705
java,629159
bwa,629150
o,628449
coot,628253
vmd,628247
adxv,628225
nmrpipe,627521
chimerax,627458
xds,626640
o,626165
openmpi,625496
cistem,624509
ccpem,624499
dino,624286
samtools,624273
picard,624149
fiji,624095
schrodinger,623889
freesurfer,623876
cistem,622653
coot,622016
r,621710
openmpi,621671
vmd,621606
eman2,620668
scipion,620644
nmrfam-sparky,620541
coot,620466
bedtools,620228
schrodinger,619737
pytom,619052
eman2,619040
eman2,619011
nmrview,618179
geneious,617981
pymol,617694
cistem,617494
xdsgui,617438
xdsgui,617438
dino,617358
hkl,617351
nedit,617239
schrodinger,617000
cistem,616917
adxv,616868
bedtools,616807
pymol,616721
bedtools,616062
fiji,616003
samtools,615884
plink2,615884
geneious,615206
bcftools,615020
geneious,614978
pymol,614117
samtools,613832
eman2,613830
cryolo,613795
scatter,613793
xdsgui,613771
bwa,613606
samtools,613570
hkl2map,613558
phenix,613328
fiji,613157
cooler,613095
bcftools,612233
eman2,612067
eman2,612067
molmol,612007
adxv,611759
geneious,611670
schrodinger,611163
python,611049
htslib,610182
java,609979
o,609781
bcftools,609532
ligplus,609226
scipion,609176
nmrfam-sparky,608724
vmd,608614
pymol,608093
freesurfer,607904
o,607650
jupyter,607632
gatk,607432
geneious,607303
emacs,606873
r,606761
nmrpipe,606700
python,606526
xdsgui,606062
eman2,605598
java,605538
cryodrgn,605414
xdsgui,605323
eman2,604897
jalview,604839
openmpi,604769
eman2,604636
nedit,604098
scipion,603859
gromacs,603775
ccpem,603704
openmpi,603303
chimerax,603159
schrodinger,603153
python,602786
raw,602679
scipion,602281
star,602202
vmd,602120
chimerax,601869
scipion,601644
scatter,601634
phenix,601433
adxv,601204
imagej,601183
java,600589
r,600337
java,600139
bwa,599949
java,599903
schrodinger,599732
bedtools,599404
nmrfam-sparky,598778
topaz,598765
nmrfam-sparky,598323
scipion,597879
geneious,596714
chimera,596142
vmd,595485
openmpi,594580
scipion,594520
chimera,594330
gatk,594299
java,593501
dynamo,593157
ligplus,593113
bedtools,593045
openmpi,592818
chimera,592336
htslib,592322
gromacs,592303
eman2,591817
eman2,591746
chimerax,591597
bcftools,591206
nedit,591062
rosetta,590864
eman2,590603
atsas,590452
jupyter,590261
perl,589949
pymol,589820
chimera,589720
java,589412
schrodinger,588983
namd,588716
bedtools,588446
xv,588370
eman2,587884
samtools,587527
nedit,586978
imagej,586767
topaz,586398
schrodinger,586026
pymol,585901
gromacs,585639
phenix,585453
samtools,585188
o,583963
samtools,583881
python,581773
xdsgui,581242
rosetta,581214
openmpi,581101
cryolo,581075
ccp4,580056
bedtools,579672
coot,579171
nedit,578175
coot,578152
chimera,578006
pymol,577298
grace,577287
chimerax,576837
eman2,575933
r,575257
vmd,574674
freesurfer,574572
eman2,573947
isonet,573750
scipion,573747
nedit,573715
python,573582
nmrfam-sparky,573582
cactus,573092
chimerax,572303
fiji,571840
vcftools,570868
bedtools,570686
python,570231
eman2,570215
xdsgui,569808
coot,569758
python,569547
openmpi,569062
openmpi,569062
vmd,568870
vcftools,568839
bedtools,568790
phenix,567576
bcftools,567160
schrodinger,567091
nedit,566153
cryolo,565979
cryolo,565703
java,565581
xdsgui,565564
r,565207
alphafold,565076
relion,564863
adxv,564584
openmpi,564541
nmrview,564289
cryolo,564122
pytorch,563996
nmrfam-sparky,563961
relionbbr,563862
java,563655
eman2,563376
xdsgui,562931
topaz,562280
java,562045
nmrfam-sparky,561736
samtools,561336
vmd,560982
perl,560854
relion,560716
eman2,559624
schrodinger,559563
python,558428
openmpi,558411
python,558036
coot,557968
pymol,557792
ccpnmr,557775
python,556637
openmpi,556296
openmpi,555913
java,554892
nmrfam-sparky,554485
bwa,554116
alphafold,553723
openmpi,553319
nmrfam-sparky,552893
cistem,552497
pymol,552151
rosetta,552132
java,551735
cryolo,551063
bsoft,551063
tcltk,551063
phenix,550993
java,550900
adxv,550442
python,550314
geneious,550032
openmpi,549873
pymol_schrodinger,549094
python,548791
rosetta,548168
r,546974
python,546910
python,546352
nedit,546130
eman2,546047
cryolo,546035
freesurfer,545894
bedtools,545818
perl,545126
nedit,544902
python,544805
cryolo,544728
xdsgui,544371
xdsgui,544074
chimera,544024
cryodrgn,543448
phenix,543301
jupyter,543288
fiji,542928
fiji,542919
peet,542282
java,541648
coot,541552
ccpem,541285
cryolo,540969
prody,540944
cistem,540645
nmrpipe,540437
samtools,539788
schrodinger,539697
nmrview,539115
openmpi,539055
jalview,539020
alphafold,538975
alphafold,538902
hkl,538433
ccpem,538318
xdsgui,538206
python,537658
scipion,537650
nmrfam-sparky,537397
nedit,537080
java,536478
alphafold,536434
perl,536056
eman2,535950
cistem,535905
jupyterlab,535885
bcftools,535452
eman2,535421
nmrpipe,534960
alphafold,534853
pymol,534714
hkl,534673
alphafold,533835
rosetta,533697
topaz,533297
python,533284
chimerax,533199
r,533167
python,532516
bedtools,532234
nmrpipe,532106
jalview,531909
hkl,530836
rosetta,530600
java,530347
java,530275
python,530078
chimera,529902
ccpnmr,529505
python,529244
topaz,529084
bsoft,528967
tcltk,528966
chimerax,528965
sparky,528892
openmpi,528283
bwa,528232
python,528029
nedit,527636
rosetta,527321
atsas,527306
hkl,526856
motioncor2,526272
python,526080
java,525998
rosetta,525914
java,525887
nmrfam-sparky,524922
scipion,524921
scipion,524851
pymol,524723
bcftools,524546
gatk,524451
java,524372
chimera,524356
python,523853
coot,523627
buster,523607
r,523509
ccpnmr,523167
python,523063
mgltools,522634
samtools,522496
schrodinger,521377
geneious,521134
simple,520743
tomotwin,520737
openmpi,520233
openmpi,520016
bcftools,519824
pymol_schrodinger,519716
geneious,519690
phenix,519648
ghostscript,519249
ccpem,519222
nmrview,518626
nmrfam-sparky,518330
scipion,518288
schrodinger,517762
eman2,517598
pymol,517341
spring,517267
chimerax,517235
scipion,516989
coot,516971
bwa,516952
coot,516329
bcftools,516319
jupyter,516102
jalview,516025
dino,516001
picard,515981
xterm,515491
chimerax,514881
perl,514413
nedit,514273
aline,514193
bcftools,513699
jalview,513696
rosetta,513348
bedtools,513280
schrodinger,513271
java,513121
topaz,512835
schrodinger,512831
vcftools,512386
scatter,512155
python,511857
cistem,511668
bcftools,511457
jalview,511109
python,511082
dino,510727
hkl,510404
sparky,510301
coot,509694
topaz,509669
r,509652
nmrpipe,508715
bcftools,508288
nmrfam-sparky,508094
vmd,508090
isonet,508056
bcftools,507993
samtools,507712
hkl,507596
nmrpipe,507452
coot,507188
isonet,506648
chimera,506633
pymol_schrodinger,506346
gatk,505811
chimerax,505441
bwa,505393
eman2,505328
python,504977
openmpi,504896
gatk,504412
coot,504095
python,504057
chimera,503590
chimerax,503405
nedit,503230
bedtools,503204
xds,502625
adxv,502342
samtools,502331
o,502200
fiji,501423
raw,500597
vmd,500410
fiji,500172
cistem,499828
bcftools,499629
samtools,499196
bedtools,499123
chimera,498976
ligplus,498938
openmpi,498826
simple,498730
xterm,498568
relion,498441
simple,498386
cistem,498318
java,498269
picard,498000
xv,497969
pairtools,497967
openmpi,497498
cistem,496728
star,496712
python,496352
nmrpipe,495990
eman2,495465
r,494916
python,494805
cistem,494602
bcftools,494483
bwa,494417
gromacs,491978
java,491851
nmrpipe,490952
topaz,490471
java,490135
relion,489750
htslib,489709
grace,489163
autodock,488914
r,488294
topaz,487973
jupyter,487819
eman2,487785
java,486970
bwa,486888
samtools,486751
gatk,486568
topaz,486543
bcftools,486373
cistem,485662
eman2,485368
amber,485163
python,484574
r,483835
pymol,483473
topaz,482993
schrodinger,482615
python,482344
python,481962
openmpi,481910
chimerax,481883
alphapickle,480919
hkl,480863
java,480844
coot,480072
coot,480071
python,480042
bwa,479862
alphafold,479795
bcftools,479709
java,479144
coot,479126
bcftools,478769
chimerax,478632
python,478083
openmpi,478027
autodock,477813
schrodinger,477680
xdsgui,477585
vmd,477345
openmpi,477290
chimera,477072
scipion,476968
python,476669
openmpi,476487
openmpi,476268
samtools,475990
modeller,475520
chimerax,474914
openmpi,474879
nmrfam-sparky,474205
bwa,474176
perl,474075
java,473906
vmd,473594
deepemhancer,473244
eman2,473213
bedtools,473025
coot,472863
picard,472715
peet,472583
topaz,472136
ccpem,472046
chimerax,471913
bcftools,471455
python,471187
java,471092
bowtie2,470961
scipion,470870
schrodinger,470804
coot,470768
openmpi,470765
nmrpipe,470693
chimera,470569
gromacs,470262
xdsgui,470030
atsas,469827
bedtools,469276
java,468755
imosflm,468491
samtools,468433
samtools,468168
gromacs,467895
nmrpipe,467882
topaz,467260
ccp4,467209
cara,467038
r,466999
chimerax,466661
alphafold,466350
dynamo,466151
topaz,466073
eman2,466067
tophat,465156
nedit,464606
openmpi,464419
nedit,464363
python,464306
prody,463824
gromacs,463655
nmrfam-sparky,463591
tophat,463359
coot,463344
schrodinger,463145
alphafold,462869
schrodinger,461682
openmpi,461264
ligplus,461076
rosetta,460865
chimerax,460320
openmpi,460128
nmrfam-sparky,459783
chimera,459765
vmd,459727
eman2,459548
schrodinger,459522
chimerax,459483
o,459361
bedtools,459318
nedit,459279
emacs,458503
hkl,458033
openmpi,457903
imagej,457737
python,457567
cryolo,457395
adxv,457114
cistem,457029
coot,456967
cistem,456728
schrodinger,456469
topaz,456313
vmd,456053
gatk,455801
openmpi,455713
python,455637
python,455570
bcftools,455301
fiji,455202
coot,455022
openmpi,454745
chimerax,454517
nedit,454410
gromacs,453878
xterm,452913
alphafold,452777
htslib,452740
ccpem,452709
vmd,452562
gatk,452422
buster,452180
ccpem,452109
bedtools,451982
nmrpipe,451931
cryolo,451920
samtools,451383
occupy,451382
resmap,451330
nmrfam-sparky,450676
ccp4,449975
python,449925
eman2,449672
topaz,449599
coot,449540
adxv,449287
samtools,448570
buster,448425
openmpi,448314
vmd,447911
nmrview,447261
adxv,447185
alphafold,447120
python,447065
pairtools,446928
samtools,446480
xdsgui,446396
openmpi,446366
o,446346
cistem,446246
chimera,446159
ccpem,446080
ligplus,445988
sparky,445455
python,444709
jalview,444597
cistem,444534
o,444405
r,444401
samtools,444155
python,444145
hkl,444072
cistem,443675
openmpi,443670
adxv,443605
eman2,443296
isonet,443116
relionbbr,443007
grace,442961
openmpi,442843
ccpem,442650
eman2,442620
pymol_open,442232
topaz,442167
scipion,442084
topaz,441869
pairtools,441725
python,441491
r,440979
python,440793
vmd,440745
rosetta,440623
vmd,440585
gatk,440556
python,440447
schrodinger,440382
phenix,440055
pymol_schrodinger,440038
scipion,439741
rosetta,439663
focus,439553
alphafold,439355
alphafold,439293
prody,438967
atsas,438867
autodock,438736
vmd,438556
ccpem,438515
nmrfam-sparky,438490
java,438241
python,438091
rstudio,437849
alphafold,437847
xds,437574
chimera,437107
geneious,436833
ctffind4,436502
adxv,436419
bwa,436175
openmpi,435802
java,435620
colabfold,435549
gromacs,435542
cryodrgn,435348
xdsgui,435236
openmpi,435226
jupyter,435111
python,434705
schrodinger,434315
schrodinger,434086
bsoft,433803
ligplus,433626
python,433554
tcltk,433108
xdsgui,432988
hkl,432958
ccpem,432675
pymol,432650
schrodinger,432597
samtools,432360
scatter,431972
alphafold,431862
vmd,431814
nmrfam-sparky,431546
ccpem,431441
jupyter,431418
adxv,431417
java,431401
python,431376
bwa,431157
vmd,431075
ligplus,430930
anaconda,430855
vmd,430777
vmd,430777
schrodinger,430246
vmd,430219
bcftools,430142
nedit,429929
hkl,429881
jalview,429664
chimerax,429264
molmol,429153
cistem,429055
xdsgui,428988
buster,428814
topaz,428768
chimerax,428760
nmrfam-sparky,428408
delly,428343
alphafold,428244
eman2,428121
eman2,428014
xterm,427987
geneious,427809
nedit,427724
java,427299
peet,427253
pytom,426644
openmpi,426571
nedit,426458
atsas,426418
pymol_schrodinger,426385
bcftools,425989
samtools,425492
geneious,425482
bedtools,425383
nedit,424925
bcftools,424310
chimerax,423975
bedtools,423956
alphafold,423839
xdsgui,423675
samtools,423644
xchemexplorer,423493
bedtools,423152
ligplus,422453
bedtools,422225
python,422194
bedtools,422110
scipion,422032
nmrfam-sparky,421579
r,421531
r,421531
bedtools,421138
pyrqa,421115
python,421060
cryolo,420740
java,420678
bedtools,420625
r,420476
nedit,420411
schrodinger,420401
pytom,420243
pymol,420095
cryolo,419988
bedtools,419858
xds,419729
pymol,419700
samtools,419652
nedit,419651
nedit,419617
peet,419601
alphafold,418728
samtools,418502
chimerax,418344
openmpi,418291
eman2,417799
peet,417618
bedtools,417501
openmpi,417461
eman2,417284
isonet,417158
jalview,416851
scipion,416809
python,416623
gromacs,416498
